,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label,popularity,artist_followers
68,0.439,0.153,0,-17.529,0,0.115,0.783,0.0,0.289,0.317,57.285,5mRF9wpnR4j6QnRXJCNgoO,spotify:track:5mRF9wpnR4j6QnRXJCNgoO,521200,4,jazz,42,2527089
69,0.619,0.288,1,-11.199,1,0.0366,0.575,0.0,0.22,0.648,136.624,1nYBShHiR5XZTqQTSmAfHA,spotify:track:1nYBShHiR5XZTqQTSmAfHA,172040,4,jazz,38,5694330
70,0.683,0.187,4,-14.291,0,0.061,0.651,0.0,0.13,0.597,121.618,6fDN0uwvXXzQCusv36sjhZ,spotify:track:6fDN0uwvXXzQCusv36sjhZ,280400,4,jazz,38,2197647
71,0.39,0.05,4,-14.448,0,0.0544,0.909,0.000608,0.0832,0.16,174.401,4ur0Fd4coSwWtP8MWpkjR9,spotify:track:4ur0Fd4coSwWtP8MWpkjR9,164867,3,jazz,49,183834
72,0.514,0.333,2,-10.817,1,0.0355,0.774,0.0,0.0888,0.458,68.189,3qTYzMkbzxqRtA2hlSz4Ba,spotify:track:3qTYzMkbzxqRtA2hlSz4Ba,133213,4,jazz,47,455962
73,0.423,0.212,5,-11.44,0,0.0333,0.909,4.53e-05,0.116,0.2,112.187,7GfGULTcjWV5Np3xFNZ9hW,spotify:track:7GfGULTcjWV5Np3xFNZ9hW,337707,4,jazz,36,45340
74,0.272,0.289,7,-8.079,1,0.0349,0.952,0.0,0.137,0.116,77.703,15MObStooR3cTaXIf1fQCX,spotify:track:15MObStooR3cTaXIf1fQCX,142867,3,jazz,36,14821
76,0.516,0.248,0,-13.391,1,0.0388,0.804,0.000248,0.163,0.403,111.63,4W2LV899ys1sJTTlu40EPh,spotify:track:4W2LV899ys1sJTTlu40EPh,133680,4,jazz,43,60732
77,0.283,0.146,3,-15.957,1,0.0369,0.958,0.00569,0.109,0.194,126.391,4LXa7I51n7gzUf2TKu9vpM,spotify:track:4LXa7I51n7gzUf2TKu9vpM,166413,5,jazz,30,616
78,0.472,0.0314,7,-18.006,1,0.0364,0.976,1.46e-05,0.15,0.194,135.555,0j3ideT0tRuIyRhOOUQjYa,spotify:track:0j3ideT0tRuIyRhOOUQjYa,182653,4,jazz,45,1336297
79,0.478,0.00776,10,-24.986,1,0.0614,0.983,0.78,0.105,0.215,114.27,4QwzVlAJSkcLeCNQ6Ug30P,spotify:track:4QwzVlAJSkcLeCNQ6Ug30P,499533,4,jazz,46,861099
80,0.494,0.302,2,-10.51,0,0.0711,0.685,0.0,0.281,0.785,148.197,04kFa5D5by0or1IN6bI9N7,spotify:track:04kFa5D5by0or1IN6bI9N7,129267,4,jazz,48,76068
81,0.446,0.409,7,-11.196,0,0.0579,0.753,0.0,0.0601,0.43,81.652,4waAobn5tpdqVoH9R8oDqc,spotify:track:4waAobn5tpdqVoH9R8oDqc,225933,4,jazz,38,5694330
82,0.186,0.17,5,-13.309,1,0.0406,0.903,0.123,0.169,0.0639,65.085,3CbN0iFlYubKNVsJHZPmuH,spotify:track:3CbN0iFlYubKNVsJHZPmuH,203773,4,jazz,30,155272
83,0.492,0.2,7,-19.616,1,0.146,0.605,0.0,0.123,0.512,140.102,3HYAO6bacg5rW3hVH2qoHF,spotify:track:3HYAO6bacg5rW3hVH2qoHF,195107,4,jazz,39,2197647
84,0.421,0.0873,5,-16.897,1,0.0397,0.958,7.28e-05,0.234,0.0721,117.069,4NHNztFS67GSpnU611l74v,spotify:track:4NHNztFS67GSpnU611l74v,374750,4,jazz,42,560600
85,0.517,0.0642,5,-16.543,1,0.0669,0.967,0.0,0.255,0.352,79.468,0W74XoidEMmssr9r7QwE44,spotify:track:0W74XoidEMmssr9r7QwE44,177007,3,jazz,34,13291
86,0.451,0.0604,2,-20.696,0,0.0292,0.941,0.000218,0.118,0.211,65.692,7g4vp6gM7cpMCZabF6vWm6,spotify:track:7g4vp6gM7cpMCZabF6vWm6,150721,4,jazz,40,60732
87,0.468,0.0104,10,-28.365,1,0.041,0.941,0.00233,0.137,0.233,107.255,7HqMu6Oa7jLQVDUuWiy6v2,spotify:track:7HqMu6Oa7jLQVDUuWiy6v2,146040,4,jazz,49,861099
