,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
43,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,4dGkPPLnIdVgogqpyaAjbc,spotify:track:4dGkPPLnIdVgogqpyaAjbc,425000,4,classic
44,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,74WjYdm3Lvbwnds4thYPUU,spotify:track:74WjYdm3Lvbwnds4thYPUU,177333,4,classic
45,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,3VQ7hwiEfaHDl3AySgyaiR,spotify:track:3VQ7hwiEfaHDl3AySgyaiR,153267,4,classic
46,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,6cC6h5E351deEGFd7Kh9uy,spotify:track:6cC6h5E351deEGFd7Kh9uy,268853,4,classic
47,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,3NbAsIxDL0fVgNuCLD152P,spotify:track:3NbAsIxDL0fVgNuCLD152P,176518,4,classic
48,0.31,0.0555,7,-25.695,1,0.0395,0.994,0.906,0.121,0.566,70.515,1ENZ1YHuOp5MMFJlWBQ6V7,spotify:track:1ENZ1YHuOp5MMFJlWBQ6V7,140040,4,classic
49,0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.106,0.0538,121.131,2ceu417OdiSxzR3K7B1n2M,spotify:track:2ceu417OdiSxzR3K7B1n2M,1215573,4,classic
50,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,1MiWGSGDC5mGoP3MNclZ7s,spotify:track:1MiWGSGDC5mGoP3MNclZ7s,208587,3,classic
51,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,43bSKCMWHIuBsUVmQcDX1J,spotify:track:43bSKCMWHIuBsUVmQcDX1J,257000,3,classic
52,0.212,0.0517,2,-24.467,1,0.0525,0.928,0.639,0.112,0.152,185.678,3Rw0Rg4LjlYnuxIyioW3vg,spotify:track:3Rw0Rg4LjlYnuxIyioW3vg,397640,3,classic
53,0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,6VDHdry8ytOL2WWbePDxSD,spotify:track:6VDHdry8ytOL2WWbePDxSD,195333,4,classic
54,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,64ZxBE1ZgK4C0lGljXzDcG,spotify:track:64ZxBE1ZgK4C0lGljXzDcG,204147,4,classic
55,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,0w4LgJ5G1Xz5jLS3HX8oyq,spotify:track:0w4LgJ5G1Xz5jLS3HX8oyq,1050893,4,classic
56,0.309,0.258,9,-15.327,1,0.0459,0.976,0.69,0.0924,0.115,74.568,0yzhOPf0iw2qWwcXRRta5L,spotify:track:0yzhOPf0iw2qWwcXRRta5L,890000,4,classic
57,0.193,0.0839,8,-22.849,1,0.0406,0.971,0.822,0.118,0.0569,85.556,6kg7bfwsTKzRqnBGGv4VqR,spotify:track:6kg7bfwsTKzRqnBGGv4VqR,580253,4,classic
58,0.164,0.0194,3,-34.126,1,0.0434,0.938,0.859,0.0939,0.0581,101.708,0oIQl9tFpCiKBRavEIIGzo,spotify:track:0oIQl9tFpCiKBRavEIIGzo,233400,3,classic
59,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,7uf3aFC1msj0t5cYImgOWy,spotify:track:7uf3aFC1msj0t5cYImgOWy,209373,4,classic
60,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,6cUCckpdlqHJ5Ascf2uH2A,spotify:track:6cUCckpdlqHJ5Ascf2uH2A,442000,4,classic
61,0.166,0.0363,11,-26.822,1,0.0381,0.978,0.922,0.0882,0.039,84.467,76wXMaJVSr0nSsKsSdwAiu,spotify:track:76wXMaJVSr0nSsKsSdwAiu,473787,4,classic
62,0.0891,0.341,10,-12.681,0,0.046,0.145,0.836,0.111,0.0334,85.231,5DFUsGW4Cmltv8Spd0u1aV,spotify:track:5DFUsGW4Cmltv8Spd0u1aV,371747,3,classic
63,0.24,0.0648,4,-25.208,0,0.0426,0.935,0.0272,0.258,0.0771,95.286,58Q96yWnuBqlKEGd2vGyAg,spotify:track:58Q96yWnuBqlKEGd2vGyAg,423107,3,classic
